"id","data_id","treat","age","educ","black","hisp","marr","nodegree","agesq","agecube","educsq","u74","u75","re74","re75","re78"
61,"Dehejia-Wahba Sample",1,17,8,1,0,0,1,289,4913,64,1,1,0,0,0
62,"Dehejia-Wahba Sample",1,29,8,1,0,0,1,841,24389,64,1,1,0,0,1923.93798828125
63,"Dehejia-Wahba Sample",1,35,10,1,0,0,1,1225,42875,100,1,1,0,0,4666.23583984375
64,"Dehejia-Wahba Sample",1,27,11,1,0,0,1,729,19683,121,1,1,0,0,549.298400878906
65,"Dehejia-Wahba Sample",1,29,4,1,0,0,1,841,24389,16,1,1,0,0,762.914611816406
66,"Dehejia-Wahba Sample",1,28,9,1,0,0,1,784,21952,81,1,1,0,0,10694.2900390625
67,"Dehejia-Wahba Sample",1,27,11,1,0,0,1,729,19683,121,1,1,0,0,0
68,"Dehejia-Wahba Sample",1,23,7,0,0,0,1,529,12167,49,1,1,0,0,0
69,"Dehejia-Wahba Sample",1,45,5,1,0,1,1,2025,91125,25,1,1,0,0,8546.71484375
70,"Dehejia-Wahba Sample",1,29,13,1,0,0,0,841,24389,169,1,1,0,0,7479.65576171875
71,"Dehejia-Wahba Sample",1,27,9,1,0,0,1,729,19683,81,1,1,0,0,0
72,"Dehejia-Wahba Sample",1,46,13,1,0,0,0,2116,97336,169,1,1,0,0,647.20458984375
73,"Dehejia-Wahba Sample",1,18,6,1,0,0,1,324,5832,36,1,1,0,0,0
74,"Dehejia-Wahba Sample",1,25,12,1,0,0,0,625,15625,144,1,1,0,0,11965.8095703125
75,"Dehejia-Wahba Sample",1,28,15,1,0,0,0,784,21952,225,1,1,0,0,9598.541015625
76,"Dehejia-Wahba Sample",1,25,11,0,0,0,1,625,15625,121,1,1,0,0,18783.349609375
77,"Dehejia-Wahba Sample",1,22,12,1,0,0,0,484,10648,144,1,1,0,0,18678.080078125
78,"Dehejia-Wahba Sample",1,21,9,1,0,0,1,441,9261,81,1,1,0,0,0
79,"Dehejia-Wahba Sample",1,40,11,1,0,0,1,1600,64000,121,1,1,0,0,23005.599609375
80,"Dehejia-Wahba Sample",1,22,11,1,0,0,1,484,10648,121,1,1,0,0,6456.69677734375
81,"Dehejia-Wahba Sample",1,25,12,1,0,0,0,625,15625,144,1,1,0,0,0
82,"Dehejia-Wahba Sample",1,18,12,1,0,0,0,324,5832,144,1,1,0,0,2321.10693359375
83,"Dehejia-Wahba Sample",1,38,12,0,0,0,0,1444,54872,144,1,1,0,0,4941.84912109375
84,"Dehejia-Wahba Sample",1,27,13,1,0,0,0,729,19683,169,1,1,0,0,0
85,"Dehejia-Wahba Sample",1,27,8,1,0,0,1,729,19683,64,1,1,0,0,0
86,"Dehejia-Wahba Sample",1,38,11,1,0,0,1,1444,54872,121,1,1,0,0,0
87,"Dehejia-Wahba Sample",1,23,8,0,1,0,1,529,12167,64,1,1,0,0,3881.28393554688
88,"Dehejia-Wahba Sample",1,26,11,1,0,0,1,676,17576,121,1,1,0,0,17230.9609375
89,"Dehejia-Wahba Sample",1,21,12,0,0,0,0,441,9261,144,1,1,0,0,8048.60302734375
90,"Dehejia-Wahba Sample",1,25,8,1,0,0,1,625,15625,64,1,1,0,0,0
91,"Dehejia-Wahba Sample",1,31,11,1,0,1,1,961,29791,121,1,1,0,0,14509.9296875
92,"Dehejia-Wahba Sample",1,17,10,1,0,0,1,289,4913,100,1,1,0,0,0
93,"Dehejia-Wahba Sample",1,25,11,1,0,0,1,625,15625,121,1,1,0,0,0
94,"Dehejia-Wahba Sample",1,21,12,1,0,0,0,441,9261,144,1,1,0,0,9983.7841796875
95,"Dehejia-Wahba Sample",1,44,11,1,0,0,1,1936,85184,121,1,1,0,0,0
96,"Dehejia-Wahba Sample",1,25,12,0,0,0,0,625,15625,144,1,1,0,0,5587.5029296875
97,"Dehejia-Wahba Sample",1,18,9,1,0,0,1,324,5832,81,1,1,0,0,4482.84521484375
98,"Dehejia-Wahba Sample",1,42,12,1,0,0,0,1764,74088,144,1,1,0,0,2456.15307617188
99,"Dehejia-Wahba Sample",1,25,10,1,0,0,1,625,15625,100,1,1,0,0,0
100,"Dehejia-Wahba Sample",1,31,9,0,1,0,1,961,29791,81,1,1,0,0,26817.599609375
101,"Dehejia-Wahba Sample",1,24,10,1,0,0,1,576,13824,100,1,1,0,0,0
102,"Dehejia-Wahba Sample",1,26,10,1,0,0,1,676,17576,100,1,1,0,0,9265.7880859375
103,"Dehejia-Wahba Sample",1,25,11,1,0,0,1,625,15625,121,1,1,0,0,485.229797363281
104,"Dehejia-Wahba Sample",1,18,11,1,0,0,1,324,5832,121,1,1,0,0,4814.626953125
105,"Dehejia-Wahba Sample",1,19,11,1,0,0,1,361,6859,121,1,1,0,0,7458.10498046875
106,"Dehejia-Wahba Sample",1,43,9,1,0,0,1,1849,79507,81,1,1,0,0,0
107,"Dehejia-Wahba Sample",1,27,13,1,0,0,0,729,19683,169,1,1,0,0,34099.28125
108,"Dehejia-Wahba Sample",1,17,9,1,0,0,1,289,4913,81,1,1,0,0,1953.26794433594
109,"Dehejia-Wahba Sample",1,30,11,1,0,0,1,900,27000,121,1,1,0,0,0
110,"Dehejia-Wahba Sample",1,26,10,1,0,1,1,676,17576,100,0,1,2027.9990234375,0,0
111,"Dehejia-Wahba Sample",1,20,9,1,0,0,1,400,8000,81,0,1,6083.994140625,0,8881.6650390625
112,"Dehejia-Wahba Sample",1,17,9,0,1,0,1,289,4913,81,0,0,445.17041015625,74.3434524536133,6210.669921875
113,"Dehejia-Wahba Sample",1,20,12,1,0,0,0,400,8000,144,0,0,989.267822265625,165.207702636719,0
114,"Dehejia-Wahba Sample",1,18,11,1,0,0,1,324,5832,121,0,0,858.254272460938,214.563598632812,929.883911132812
115,"Dehejia-Wahba Sample",1,27,12,1,0,1,0,729,19683,144,0,0,3670.8720703125,334.049285888672,0
116,"Dehejia-Wahba Sample",1,21,12,0,0,0,0,441,9261,144,0,0,3670.8720703125,334.049407958984,12558.01953125
117,"Dehejia-Wahba Sample",1,27,12,1,0,0,0,729,19683,144,0,0,2143.4130859375,357.949890136719,22163.25
118,"Dehejia-Wahba Sample",1,20,12,1,0,0,0,400,8000,144,1,0,0,377.568603515625,1652.63696289062
119,"Dehejia-Wahba Sample",1,19,10,1,0,0,1,361,6859,100,1,0,0,385.274108886719,8124.71484375
120,"Dehejia-Wahba Sample",1,23,12,1,0,0,0,529,12167,144,0,0,5506.30810546875,501.074096679688,671.331787109375
121,"Dehejia-Wahba Sample",1,29,14,1,0,0,0,841,24389,196,1,0,0,679.673400878906,17814.98046875
122,"Dehejia-Wahba Sample",1,18,10,1,0,0,1,324,5832,100,1,0,0,798.907897949219,9737.154296875
123,"Dehejia-Wahba Sample",1,19,9,1,0,0,1,361,6859,81,1,0,0,798.907897949219,17685.1796875
124,"Dehejia-Wahba Sample",1,27,13,0,0,1,0,729,19683,169,0,0,9381.56640625,853.722473144531,0
125,"Dehejia-Wahba Sample",1,18,11,0,0,0,1,324,5832,121,0,0,3678.23095703125,919.557922363281,4321.705078125
126,"Dehejia-Wahba Sample",1,27,9,1,0,1,1,729,19683,81,1,0,0,934.445373535156,1773.42297363281
127,"Dehejia-Wahba Sample",1,22,12,1,0,0,0,484,10648,144,0,0,5605.85205078125,936.177307128906,0
128,"Dehejia-Wahba Sample",1,23,10,1,0,1,1,529,12167,100,1,0,0,936.438598632812,11233.259765625
129,"Dehejia-Wahba Sample",1,23,12,0,1,0,0,529,12167,144,0,0,9385.740234375,1117.43896484375,559.443176269531
130,"Dehejia-Wahba Sample",1,20,11,1,0,0,1,400,8000,121,0,0,3637.498046875,1220.83605957031,1085.43994140625
131,"Dehejia-Wahba Sample",1,17,9,1,0,0,1,289,4913,81,0,0,1716.50903320312,1253.43896484375,5445.2001953125
132,"Dehejia-Wahba Sample",1,28,11,1,0,0,1,784,21952,121,1,0,0,1284.07897949219,60307.9296875
133,"Dehejia-Wahba Sample",1,26,11,1,0,1,1,676,17576,121,1,0,0,1392.85302734375,1460.35998535156
134,"Dehejia-Wahba Sample",1,20,11,1,0,0,1,400,8000,121,0,0,16318.6201171875,1484.99401855469,6943.341796875
135,"Dehejia-Wahba Sample",1,24,11,1,0,1,1,576,13824,121,0,0,824.388610839844,1666.11303710938,4032.7080078125
136,"Dehejia-Wahba Sample",1,31,9,1,0,0,1,961,29791,81,1,0,0,1698.60705566406,10363.26953125
137,"Dehejia-Wahba Sample",1,23,8,0,0,1,1,529,12167,64,1,0,0,1713.15002441406,4232.30908203125
138,"Dehejia-Wahba Sample",1,18,10,1,0,0,1,324,5832,100,0,0,2143.41088867188,1784.27404785156,11141.3896484375
139,"Dehejia-Wahba Sample",1,29,12,1,0,0,0,841,24389,144,0,0,10881.9404296875,1817.28405761719,0
140,"Dehejia-Wahba Sample",1,26,11,0,0,0,1,676,17576,121,1,0,0,2226.26611328125,13385.8603515625
141,"Dehejia-Wahba Sample",1,24,9,1,0,0,1,576,13824,81,0,0,9154.7001953125,2288.67504882812,4849.55908203125
142,"Dehejia-Wahba Sample",1,25,12,1,0,0,0,625,15625,144,0,0,14426.7900390625,2409.27392578125,0
143,"Dehejia-Wahba Sample",1,24,10,1,0,0,1,576,13824,100,0,0,4250.40185546875,2421.94702148438,1660.50805664062
144,"Dehejia-Wahba Sample",1,46,8,1,0,0,1,2116,97336,64,0,0,3165.65795898438,2594.72290039062,0
145,"Dehejia-Wahba Sample",1,31,12,0,0,0,0,961,29791,144,1,0,0,2611.21801757812,2484.54907226562
146,"Dehejia-Wahba Sample",1,19,11,1,0,0,1,361,6859,121,0,0,2305.02587890625,2615.27587890625,4146.60302734375
147,"Dehejia-Wahba Sample",1,19,8,1,0,0,1,361,6859,64,1,0,0,2657.05688476562,9970.6806640625
148,"Dehejia-Wahba Sample",1,27,11,1,0,0,1,729,19683,121,0,0,2206.93994140625,2666.27392578125,0
149,"Dehejia-Wahba Sample",1,26,11,1,0,1,1,676,17576,121,1,0,0,2754.64599609375,26372.279296875
150,"Dehejia-Wahba Sample",1,20,10,1,0,0,1,400,8000,100,0,0,5005.73095703125,2777.35498046875,5615.18896484375
151,"Dehejia-Wahba Sample",1,28,10,1,0,0,1,784,21952,100,1,0,0,2836.50610351562,3196.57104492188
152,"Dehejia-Wahba Sample",1,24,12,1,0,0,0,576,13824,144,0,0,13765.75,2842.76391601562,6167.68115234375
153,"Dehejia-Wahba Sample",1,19,8,1,0,0,1,361,6859,64,0,0,2636.35302734375,2937.26391601562,7535.94189453125
154,"Dehejia-Wahba Sample",1,23,12,1,0,0,0,529,12167,144,0,0,6269.3408203125,3039.9599609375,8484.2392578125
155,"Dehejia-Wahba Sample",1,42,9,1,0,1,1,1764,74088,81,1,0,0,3058.53100585938,1294.40905761719
156,"Dehejia-Wahba Sample",1,25,13,1,0,0,0,625,15625,169,0,0,12362.9296875,3090.73193359375,0
157,"Dehejia-Wahba Sample",1,18,9,1,0,0,1,324,5832,81,1,0,0,3287.375,5010.341796875
158,"Dehejia-Wahba Sample",1,21,12,1,0,0,0,441,9261,144,0,0,6473.68310546875,3332.40893554688,9371.037109375
159,"Dehejia-Wahba Sample",1,27,10,1,0,0,1,729,19683,100,0,0,1001.14599609375,3550.07495117188,0
160,"Dehejia-Wahba Sample",1,21,8,1,0,0,1,441,9261,64,0,0,989.267822265625,3695.89697265625,4279.61279296875
161,"Dehejia-Wahba Sample",1,22,9,1,0,0,1,484,10648,81,0,0,2192.876953125,3836.98608398438,3462.56396484375
162,"Dehejia-Wahba Sample",1,31,4,1,0,0,1,961,29791,16,0,0,8517.5888671875,4023.2109375,7382.548828125
163,"Dehejia-Wahba Sample",1,24,10,1,0,1,1,576,13824,100,0,0,11703.2001953125,4078.15209960938,0
164,"Dehejia-Wahba Sample",1,29,10,1,0,0,1,841,24389,100,1,0,0,4398.9501953125,0
165,"Dehejia-Wahba Sample",1,29,12,1,0,0,0,841,24389,144,0,0,9748.38671875,4878.93701171875,10976.509765625
166,"Dehejia-Wahba Sample",1,19,10,0,0,0,1,361,6859,100,1,0,0,5324.10888671875,13829.6201171875
167,"Dehejia-Wahba Sample",1,19,11,0,1,1,1,361,6859,121,0,0,5424.48486328125,5463.80322265625,6788.462890625
168,"Dehejia-Wahba Sample",1,31,9,1,0,0,1,961,29791,81,0,0,10717.0302734375,5517.8408203125,9558.5009765625
169,"Dehejia-Wahba Sample",1,22,10,1,0,1,1,484,10648,100,0,0,1468.34802246094,5588.6640625,13228.2802734375
170,"Dehejia-Wahba Sample",1,21,9,1,0,0,1,441,9261,81,0,0,6416.47021484375,5749.3310546875,743.666625976562
171,"Dehejia-Wahba Sample",1,17,10,1,0,0,1,289,4913,100,0,0,1291.46801757812,5793.85205078125,5522.7880859375
172,"Dehejia-Wahba Sample",1,26,12,1,0,1,0,676,17576,144,0,0,8408.76171875,5794.8310546875,1424.94396972656
173,"Dehejia-Wahba Sample",1,20,9,0,1,0,1,400,8000,81,0,0,12260.7802734375,5875.048828125,1358.64294433594
174,"Dehejia-Wahba Sample",1,19,10,1,0,0,1,361,6859,100,0,0,4121.94921875,6056.75390625,0
175,"Dehejia-Wahba Sample",1,26,10,1,0,0,1,676,17576,100,0,0,25929.6796875,6788.9580078125,672.877319335938
176,"Dehejia-Wahba Sample",1,28,11,1,0,0,1,784,21952,121,0,0,1929.02905273438,6871.85595703125,0
177,"Dehejia-Wahba Sample",1,22,12,0,1,1,0,484,10648,144,0,0,492.230499267578,7055.7021484375,10092.830078125
178,"Dehejia-Wahba Sample",1,33,11,1,0,0,1,1089,35937,121,1,0,0,7867.916015625,6281.43310546875
179,"Dehejia-Wahba Sample",1,22,12,0,0,0,0,484,10648,144,0,0,6759.994140625,8455.50390625,12590.7099609375
180,"Dehejia-Wahba Sample",1,29,10,0,1,0,1,841,24389,100,1,0,0,8853.673828125,5112.01416015625
181,"Dehejia-Wahba Sample",1,33,12,1,0,1,0,1089,35937,144,0,0,20279.94921875,10941.349609375,15952.599609375
182,"Dehejia-Wahba Sample",1,25,14,1,0,1,0,625,15625,196,0,0,35040.0703125,11536.5703125,36646.94921875
183,"Dehejia-Wahba Sample",1,35,9,1,0,1,1,1225,42875,81,0,0,13602.4296875,13830.6396484375,12803.9697265625
184,"Dehejia-Wahba Sample",1,35,8,1,0,1,1,1225,42875,64,0,0,13732.0703125,17976.150390625,3786.6279296875
185,"Dehejia-Wahba Sample",1,33,11,1,0,1,1,1089,35937,121,0,0,14660.7099609375,25142.240234375,4181.94189453125
186,"CPS1",0,45,11,0,0,1,1,2025,91125,121,0,0,21516.669921875,25243.55078125,25564.669921875
187,"CPS1",0,21,14,0,0,0,0,441,9261,196,0,0,3175.97094726562,5852.56494140625,13496.080078125
188,"CPS1",0,38,12,0,0,1,0,1444,54872,144,0,0,23039.01953125,25130.759765625,25564.669921875
189,"CPS1",0,48,6,0,0,1,1,2304,110592,36,0,0,24994.369140625,25243.55078125,25564.669921875
190,"CPS1",0,18,8,0,0,1,1,324,5832,64,0,0,1669.29504394531,10727.6103515625,9860.869140625
191,"CPS1",0,22,11,0,0,1,1,484,10648,121,0,0,16365.759765625,18449.26953125,25564.669921875
192,"CPS1",0,48,10,0,0,1,1,2304,110592,100,0,0,16804.630859375,16354.599609375,18059.30078125
193,"CPS1",0,18,11,0,0,0,1,324,5832,121,0,0,1144.21203613281,3620.03198242188,15739.26953125
194,"CPS1",0,48,9,0,0,1,1,2304,110592,81,0,0,25862.3203125,25243.55078125,25564.669921875
195,"CPS1",0,45,12,0,0,1,0,2025,91125,144,0,1,25862.3203125,0,3924.84204101562
196,"CPS1",0,34,14,0,0,1,0,1156,39304,196,0,0,25862.3203125,23746.83984375,25564.669921875
197,"CPS1",0,16,10,0,0,0,1,256,4096,100,0,0,1026.65600585938,1224.5810546875,6847.78515625
198,"CPS1",0,53,10,0,0,1,1,2809,148877,100,0,0,25862.3203125,25243.55078125,25564.669921875
199,"CPS1",0,19,12,0,0,0,0,361,6859,144,0,0,867.955200195312,4386.2900390625,8777.6962890625
200,"CPS1",0,27,12,0,0,1,0,729,19683,144,0,0,25862.3203125,19047.240234375,19214.880859375
201,"CPS1",0,32,10,0,0,1,1,1024,32768,100,0,0,20427.3203125,23374.44921875,9179.63671875
202,"CPS1",0,27,12,0,0,1,0,729,19683,144,0,0,20983.75,14822.080078125,25564.669921875
203,"CPS1",0,46,7,0,0,1,1,2116,97336,49,0,0,19171.4296875,1317.67700195312,0
204,"CPS1",0,24,13,0,0,0,0,576,13824,169,0,0,20830.919921875,25243.55078125,23903.7109375
205,"CPS1",0,22,13,0,0,0,0,484,10648,169,0,0,11036.5498046875,10351.650390625,6556.6728515625
206,"CPS1",0,49,10,0,0,1,1,2401,117649,100,0,1,391.853393554688,0,0
207,"CPS1",0,17,10,0,0,0,1,289,4913,100,1,1,0,0,4755.32421875
208,"CPS1",0,29,14,0,0,1,0,841,24389,196,0,0,21499.029296875,22586.7109375,20923.130859375
209,"CPS1",0,28,16,0,0,1,0,784,21952,256,0,1,16500.94921875,0,10267.240234375
210,"CPS1",0,46,12,0,0,1,0,2116,97336,144,0,0,24814.109375,24967.83984375,19339.009765625
211,"CPS1",0,26,17,1,0,1,0,676,17576,289,1,1,0,0,4753.84619140625
212,"CPS1",0,49,12,0,0,0,0,2401,117649,144,0,0,25862.3203125,25243.55078125,25564.669921875
213,"CPS1",0,51,10,0,0,1,1,2601,132651,100,0,0,25862.3203125,25243.55078125,25564.669921875
214,"CPS1",0,51,10,0,0,1,1,2601,132651,100,0,0,22923.419921875,21725.560546875,10348.51953125
215,"CPS1",0,27,11,0,0,1,1,729,19683,121,0,0,17022.109375,18123.439453125,18490.7890625
216,"CPS1",0,23,13,0,0,0,0,529,12167,169,0,0,19098.9296875,21014.810546875,0
217,"CPS1",0,27,10,0,0,1,1,729,19683,100,0,0,7952.6640625,9755.4677734375,13105.9599609375
218,"CPS1",0,38,10,0,0,1,1,1444,54872,100,0,0,25862.3203125,25243.55078125,25564.669921875
219,"CPS1",0,32,8,0,0,0,1,1024,32768,64,0,0,7186.5908203125,6149.7578125,8414.1748046875
220,"CPS1",0,34,14,0,0,1,0,1156,39304,196,0,0,25862.3203125,25243.55078125,25564.669921875
221,"CPS1",0,26,18,0,0,1,0,676,17576,324,0,0,20971.990234375,21883.109375,25564.669921875
222,"CPS1",0,21,13,0,0,0,0,441,9261,169,0,0,8638.4072265625,8176.40283203125,6753.2099609375
223,"CPS1",0,39,8,0,1,0,1,1521,59319,64,0,0,13499.349609375,16383.240234375,16461.869140625
224,"CPS1",0,17,8,1,0,0,1,289,4913,64,1,0,0,451.161285400391,0
225,"CPS1",0,22,11,0,1,1,1,484,10648,121,0,0,17466.859375,17779.689453125,14438.8701171875
226,"CPS1",0,21,12,0,1,0,0,441,9261,144,1,1,0,0,0
227,"CPS1",0,44,9,0,1,1,1,1936,85184,81,0,0,15390.0400390625,14886.5302734375,12634.5595703125
228,"CPS1",0,26,10,0,1,1,1,676,17576,100,0,0,17125.94921875,17446.689453125,13518.240234375
229,"CPS1",0,54,4,0,1,1,1,2916,157464,16,0,0,13350.4404296875,13180.349609375,13741.3798828125
230,"CPS1",0,42,12,0,1,1,0,1764,74088,144,0,0,21663.609375,22013.810546875,19941.919921875
231,"CPS1",0,25,12,0,0,0,0,625,15625,144,0,0,8105.48681640625,11869.83984375,6170.98583984375
232,"CPS1",0,20,13,0,0,0,0,400,8000,169,0,0,317.401214599609,214.83869934082,0
233,"CPS1",0,44,11,0,0,1,1,1936,85184,121,0,0,25862.3203125,25243.55078125,25564.669921875
234,"CPS1",0,33,12,0,0,1,0,1089,35937,144,0,0,25862.3203125,25243.55078125,25564.669921875
235,"CPS1",0,40,12,0,0,1,0,1600,64000,144,0,0,25862.3203125,14494.4501953125,25564.669921875
236,"CPS1",0,25,16,0,0,1,0,625,15625,256,0,0,21048.400390625,22916.130859375,23574.169921875
237,"CPS1",0,33,12,0,0,0,0,1089,35937,144,0,0,12694.08984375,13046.080078125,11264.7099609375
238,"CPS1",0,52,13,1,0,0,0,2704,140608,169,0,0,19827.779296875,19668.48046875,18437.58984375
239,"CPS1",0,54,14,0,0,1,0,2916,157464,196,0,0,24686.759765625,25243.55078125,25564.669921875
240,"CPS1",0,27,15,0,0,0,0,729,19683,225,0,0,19200.810546875,19303.259765625,18207.0703125
241,"CPS1",0,51,10,0,0,1,1,2601,132651,100,0,0,7488.31787109375,7888.1611328125,6148.81982421875
242,"CPS1",0,42,12,0,0,1,0,1764,74088,144,0,0,6502.80712890625,15241.01953125,15468.83984375
243,"CPS1",0,50,10,0,0,1,1,2500,125000,100,0,0,25862.3203125,25243.55078125,25564.669921875
244,"CPS1",0,47,10,0,0,1,1,2209,103823,100,0,0,15282.2802734375,13964.51953125,9043.6865234375
245,"CPS1",0,28,12,0,0,1,0,784,21952,144,0,0,24224.369140625,11019.4404296875,20055.7109375
246,"CPS1",0,33,12,0,0,1,0,1089,35937,144,0,0,25862.3203125,25243.55078125,25564.669921875
247,"CPS1",0,33,13,0,0,1,0,1089,35937,169,0,0,21146.369140625,18732.150390625,22254.560546875
248,"CPS1",0,55,16,0,0,1,0,3025,166375,256,0,0,25862.3203125,24627.6796875,25564.669921875
249,"CPS1",0,38,12,0,0,1,0,1444,54872,144,0,0,25862.3203125,25243.55078125,25564.669921875
